new_frontiers_polish.json | [s] None => 24439 | [h] None => 251e95db60 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_portuguese.json | [s] None => 24203 | [h] None => cad34f723e | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_romanian.json | [s] None => 26376 | [h] None => 879f549c5b | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_russian.json | [s] None => 21649 | [h] None => 68e8f96e91 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_schinese.json | [s] None => 10746 | [h] None => 21720af620 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_spanish.json | [s] None => 24797 | [h] None => dd6eeabb09 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_swedish.json | [s] None => 22093 | [h] None => ac9e4a9ce1 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_tchinese.json | [s] None => 10951 | [h] None => 1e6cfc5183 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_thai.json | [s] None => 20670 | [h] None => 4118ea9d89 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_turkish.json | [s] None => 23624 | [h] None => bfffda9808 | 2023-11-16 13:28:24 (UTC+3)
new_frontiers_ukrainian.json | [s] None => 22261 | [h] None => f91b08d907 | 2023-11-16 13:28:23 (UTC+3)
new_frontiers_vietnamese.json | [s] None => 22012 | [h] None => e3d86835dc | 2023-11-16 13:28:23 (UTC+3)
primalbeast.js | [s] None => 17863 | [h] None => 0299121f99 | 2023-11-16 13:28:23 (UTC+3)
shared_arabic.json | [s] None => 314 | [h] None => 59425a1d54 | 2023-11-16 13:28:24 (UTC+3)
shared_brazilian.json | [s] None => 175633 | [h] None => 5f3d93b36c | 2023-11-16 13:28:24 (UTC+3)
shared_bulgarian.json | [s] None => 182134 | [h] None => f54f4fe068 | 2023-11-16 13:28:24 (UTC+3)
shared_czech.json | [s] None => 171884 | [h] None => 5425ec0526 | 2023-11-16 13:28:24 (UTC+3)
shared_danish.json | [s] None => 170062 | [h] None => 4991eb1163 | 2023-11-16 13:28:24 (UTC+3)
shared_dutch.json | [s] None => 178663 | [h] None => 983f46edee | 2023-11-16 13:28:24 (UTC+3)
shared_english.json | [s] None => 166870 | [h] None => 922c27d7b4 | 2023-11-16 13:28:24 (UTC+3)
shared_finnish.json | [s] None => 168539 | [h] None => e4682b343f | 2023-11-16 13:28:24 (UTC+3)
shared_french.json | [s] None => 186783 | [h] None => 431a369129 | 2023-11-16 13:28:24 (UTC+3)
shared_german.json | [s] None => 182209 | [h] None => b3f67c3e72 | 2023-11-16 13:28:24 (UTC+3)
shared_greek.json | [s] None => 183431 | [h] None => d93a22c201 | 2023-11-16 13:28:24 (UTC+3)
shared_hungarian.json | [s] None => 174451 | [h] None => fcfbb4c613 | 2023-11-16 13:28:24 (UTC+3)
shared_indonesian.json | [s] None => 174608 | [h] None => fa92986e0b | 2023-11-16 13:28:24 (UTC+3)
shared_italian.json | [s] None => 183121 | [h] None => 340048cef7 | 2023-11-16 13:28:24 (UTC+3)
shared_japanese.json | [s] None => 131989 | [h] None => 96d1db7e6d | 2023-11-16 13:28:24 (UTC+3)
shared_koreana.json | [s] None => 131434 | [h] None => 869d16476b | 2023-11-16 13:28:24 (UTC+3)
shared_latam.json | [s] None => 181594 | [h] None => e96d5d2299 | 2023-11-16 13:28:24 (UTC+3)
shared_norwegian.json | [s] None => 171978 | [h] None => ecf1c4afd2 | 2023-11-16 13:28:24 (UTC+3)
shared_polish.json | [s] None => 178614 | [h] None => 14d0cd9c7d | 2023-11-16 13:28:24 (UTC+3)
shared_portuguese.json | [s] None => 179391 | [h] None => 0573320efb | 2023-11-16 13:28:24 (UTC+3)
shared_romanian.json | [s] None => 183450 | [h] None => 7515b300f3 | 2023-11-16 13:28:24 (UTC+3)
