furion CN | [s] None => 71156 | [h] None => cc5a13125b | 2023-11-16 13:28:53 (UTC+3)
grimstroke CN | [s] None => 77926 | [h] None => 71d41e5a2a | 2023-11-16 13:28:53 (UTC+3)
gyrocopter CN | [s] None => 68799 | [h] None => 650359f471 | 2023-11-16 13:28:53 (UTC+3)
hoodwink CN | [s] None => 87279 | [h] None => b5ffc6d13f | 2023-11-16 13:28:53 (UTC+3)
huskar CN | [s] None => 65988 | [h] None => fbad3657e6 | 2023-11-16 13:28:53 (UTC+3)
invoker CN | [s] None => 140604 | [h] None => d9c71b2a09 | 2023-11-16 13:28:53 (UTC+3)
jakiro CN | [s] None => 71976 | [h] None => 2de1f1804f | 2023-11-16 13:28:53 (UTC+3)
juggernaut CN | [s] None => 68312 | [h] None => ab504d3ac1 | 2023-11-16 13:28:53 (UTC+3)
keeper_of_the_light CN | [s] None => 91722 | [h] None => 669f783773 | 2023-11-16 13:28:53 (UTC+3)
kunkka CN | [s] None => 78723 | [h] None => ea138658cf | 2023-11-16 13:28:53 (UTC+3)
legion_commander CN | [s] None => 65748 | [h] None => 9ae4301994 | 2023-11-16 13:28:53 (UTC+3)
leshrac CN | [s] None => 69466 | [h] None => 6695381695 | 2023-11-16 13:28:53 (UTC+3)
lich CN | [s] None => 71973 | [h] None => a3c23fb553 | 2023-11-16 13:28:53 (UTC+3)
life_stealer CN | [s] None => 70757 | [h] None => 5f0d760927 | 2023-11-16 13:28:53 (UTC+3)
lina CN | [s] None => 68779 | [h] None => 3cf1dc7c6c | 2023-11-16 13:28:53 (UTC+3)
lion CN | [s] None => 64409 | [h] None => cc9b629604 | 2023-11-16 13:28:53 (UTC+3)
lone_druid CN | [s] None => 68610 | [h] None => b823735206 | 2023-11-16 13:28:53 (UTC+3)
luna CN | [s] None => 66398 | [h] None => 42687bf4f0 | 2023-11-16 13:28:53 (UTC+3)
lycan CN | [s] None => 70042 | [h] None => 00cfa66566 | 2023-11-16 13:28:53 (UTC+3)
magnataur CN | [s] None => 75771 | [h] None => 4cb6f77d27 | 2023-11-16 13:28:53 (UTC+3)
marci CN | [s] None => 73398 | [h] None => 14e96828b3 | 2023-11-16 13:28:53 (UTC+3)
mars CN | [s] None => 73885 | [h] None => 62b95ad520 | 2023-11-16 13:28:53 (UTC+3)
medusa CN | [s] None => 71581 | [h] None => c7d33a196d | 2023-11-16 13:28:53 (UTC+3)
meepo CN | [s] None => 79906 | [h] None => 275cd78e6d | 2023-11-16 13:28:53 (UTC+3)
mirana CN | [s] None => 67455 | [h] None => 1d23b18ad7 | 2023-11-16 13:28:53 (UTC+3)
monkey_king CN | [s] None => 72537 | [h] None => 160d788fae | 2023-11-16 13:28:53 (UTC+3)
morphling CN | [s] None => 80234 | [h] None => 7b6d9c0e30 | 2023-11-16 13:28:53 (UTC+3)
muerta CN | [s] None => 75991 | [h] None => 3d12897b3d | 2023-11-16 13:28:53 (UTC+3)
naga_siren CN | [s] None => 70122 | [h] None => 3f8eda8fef | 2023-11-16 13:28:53 (UTC+3)
necrolyte CN | [s] None => 69187 | [h] None => bd6d66504f | 2023-11-16 13:28:53 (UTC+3)
nevermore CN | [s] None => 69624 | [h] None => d22ef52213 | 2023-11-16 13:28:53 (UTC+3)
night_stalker CN | [s] None => 63669 | [h] None => b5efdd3f2f | 2023-11-16 13:28:53 (UTC+3)
nyx_assassin CN | [s] None => 72458 | [h] None => 5b9164a993 | 2023-11-16 13:28:53 (UTC+3)
obsidian_destroyer CN | [s] None => 66610 | [h] None => edf29b48ef | 2023-11-16 13:28:53 (UTC+3)
ogre_magi CN | [s] None => 80485 | [h] None => 3d27b6a98e | 2023-11-16 13:28:53 (UTC+3)
omniknight CN | [s] None => 62884 | [h] None => 61f9d80a71 | 2023-11-16 13:28:53 (UTC+3)
oracle CN | [s] None => 72970 | [h] None => d14b90f1f8 | 2023-11-16 13:28:53 (UTC+3)
pangolier CN | [s] None => 77034 | [h] None => 1b479a0ada | 2023-11-16 13:28:53 (UTC+3)
phantom_assassin CN | [s] None => 70853 | [h] None => b3506bf8f4 | 2023-11-16 13:28:53 (UTC+3)
phantom_lancer CN | [s] None => 72646 | [h] None => 94ced28975 | 2023-11-16 13:28:53 (UTC+3)
phoenix CN | [s] None => 70079 | [h] None => cacf9b69fe | 2023-11-16 13:28:53 (UTC+3)
primal_beast CN | [s] None => 81653 | [h] None => 6de2889f9b | 2023-11-16 13:28:53 (UTC+3)
puck CN | [s] None => 63888 | [h] None => c4e8f54430 | 2023-11-16 13:28:53 (UTC+3)
